GEOID,Pop2017,Pop2013
53033000100,7963,6282
53033000200,7973,7372
53033000300,2822,2541
53033000401,6721,6110
53033000402,5300,4496
53033000500,3052,3119
53033000600,8061,7205
53033000700,4854,4355
53033000800,2582,2691
53033000900,1972,1995
53033001000,1982,1891
53033001100,2791,2649
53033001200,7024,6226
53033001300,4468,4578
53033001400,5550,5137
53033001500,2548,2568
53033001600,4603,3954
53033001701,4004,4036
53033001702,4832,3980
53033001800,5380,5104
53033001900,4777,4345
53033002000,3814,3449
53033002100,4210,3881
53033002200,5764,5356
53033002400,3180,2929
53033002500,3316,2950
53033002600,5061,4866
53033002700,6155,5178
53033002800,4854,4608
53033002900,4744,4041
53033003000,5940,5535
53033003100,6457,6173
53033003200,8504,7742
53033003300,6987,6069
53033003400,3661,3450
53033003500,4051,3850
53033003600,6631,5955
53033003800,2151,2201
53033003900,3034,3092
53033004000,3198,2970
53033004100,7920,8093
53033004200,8458,8012
53033004301,3644,3541
53033004302,3854,3543
53033004400,7314,6198
53033004500,3157,3050
53033004600,3674,3333
53033004700,8649,7425
53033004800,5136,4790
53033004900,7429,6555
53033005000,4194,3707
53033005100,3678,3617
53033005200,7041,6642
53033005301,7792,6808
53033005302,4717,5716
53033005400,5683,4778
53033005600,6875,6199
53033005700,6816,6453
53033005801,5344,5252
53033005802,5680,5298
53033005900,7975,7896
53033006000,5785,5345
53033006100,5316,5352
53033006200,4416,3874
53033006300,5510,5127
53033006400,3575,3233
53033006500,4807,4032
53033006600,4092,3153
53033006700,8688,6677
53033006800,3308,2974
53033006900,4964,4237
53033007000,7329,7171
53033007100,4521,2983
53033007200,8862,5552
53033007300,6613,4841
53033007401,5192,4330
53033007402,5362,5310
53033007500,8753,7214
53033007600,4257,3927
53033007700,5308,4570
53033007800,5875,5568
53033007900,6339,5500
53033008001,6538,5348
53033008002,3744,3107
53033008100,4872,4260
53033008200,4212,3590
53033008300,3087,2718
53033008400,4530,4098
53033008500,4296,4171
53033008600,5300,4686
53033008700,4727,4214
53033008800,4236,3627
53033008900,5729,4577
53033009000,3675,3048
53033009100,2420,2569
53033009200,2869,2570
53033009300,2665,2400
53033009400,6754,5680
53033009500,6614,5745
53033009600,5783,5603
53033009701,6254,5899
53033009702,5551,5374
53033009800,7326,6754
53033009900,5675,4751
53033010001,4276,4229
53033010002,4817,4268
53033010100,8025,5814
53033010200,4570,4605
53033010300,7084,5840
53033010401,4303,4783
53033010402,4938,4743
53033010500,7468,6257
53033010600,8328,7701
53033010701,3736,3126
53033010702,4600,3690
53033010800,4970,4706
53033010900,1045,1131
53033011001,4697,4676
53033011002,4957,4347
53033011101,5450,4711
53033011102,4480,4390
53033011200,3719,4745
53033011300,7054,6234
53033011401,4253,4023
53033011402,4371,4334
53033011500,4421,4015
53033011600,6899,6614
53033011700,5679,6380
53033011800,8415,7842
53033011900,7597,7494
53033012000,3615,3385
53033012100,2663,2883
53033020100,3172,3147
53033020200,5189,5859
53033020300,7065,6394
53033020401,3592,3351
53033020402,5601,5299
53033020500,6608,6050
53033020600,3691,3582
53033020700,3834,4013
53033020800,4329,4009
53033020900,3664,3497
53033021000,5842,5615
53033021100,4562,4586
53033021300,4114,3733
53033021400,3956,3824
53033021500,4365,4452
53033021600,5005,4877
53033021700,8831,8653
53033021802,5539,5409
53033021803,4904,4450
53033021804,5097,4368
53033021903,6153,4712
53033021904,4969,4915
53033021905,5588,4782
53033021906,4259,4220
53033022001,5376,5012
53033022003,4831,4683
53033022005,5076,4117
53033022006,4085,3438
53033022101,4662,4782
